0, 3.81153e-43, 0
5, -0.0271102, 0.00580082
10, -0.0438862, 0.000194076
15, -0.0309209, -0.0172781
20, -0.0679839, 0.00497472
25, -0.10306, 0.0163318
30, -0.134523, 0.0202728
35, -0.152517, 0.0454403
40, -0.186566, 0.0538296
45, -0.22301, 0.082049
50, -0.229324, 0.111265
55, -0.21927, 0.125123
60, -0.238858, 0.154672
65, -0.206792, 0.11832
70, -0.164509, 0.0766877
75, -0.10801, 0.0300327
80, -0.0453529, -0.021221
85, 0.021296, -0.0748918
90, 0.0448365, -0.083976
95, 0.0752131, -0.100405
100, 0.13329, -0.123576
105, 0.157394, -0.132625
110, 0.180614, -0.138641
115, 0.203211, -0.137784
120, 0.224748, -0.136969
125, 0.245278, -0.136194
130, 0.264359, -0.135458
135, 0.28302, -0.134757
140, 0.300814, -0.134091
145, 0.317784, -0.133457
150, 0.33397, -0.132854
155, 0.349901, -0.132281
160, 0.366104, -0.131736
165, 0.382122, -0.131218
170, 0.3975, -0.130725
175, 0.412268, -0.130256
180, 0.426457, -0.12981
185, 0.440094, -0.129387
190, 0.453207, -0.128983
195, 0.465821, -0.1286
